unique_id;Date; Open;High;Low;Close;Adj;Close2;Volume
1;02-May-25;0.119;0.119;0.119;0.119;0.119;-;
1;30-Apr-25;0.119;0.119;0.119;0.119;0.119;-;
1;29-Apr-25;0.117;0.117;0.117;0.117;0.117;-;
1;28-Apr-25;0.116;0.116;0.116;0.116;0.116;-;
1;25-Apr-25;0.117;0.117;0.117;0.117;0.117;-;
1;24-Apr-25;0.113;0.113;0.113;0.113;0.113;-;
1;23-Apr-25;0.114;0.135;0.114;0.135;0.135;23.402;
1;22-Apr-25;0.114;0.114;0.114;0.114;0.114;-;
1;17-Apr-25;0.117;0.117;0.117;0.117;0.117;-;
1;16-Apr-25;0.114;0.114;0.114;0.114;0.114;-;
1;15-Apr-25;0.111;0.111;0.111;0.111;0.111;-;
1;14-Apr-25;0.11;0.11;0.11;0.11;0.11;-;
1;11-Apr-25;0.102;0.102;0.102;0.102;0.102;-;
1;10-Apr-25;0.1;0.12;0.1;0.12;0.12;73.5;
1;09-Apr-25;0.1;0.105;0.1;0.105;0.105;13.882;
1;08-Apr-25;0.1;0.1;0.1;0.1;0.1;-;
1;07-Apr-25;0.104;0.104;0.104;0.104;0.104;-;
1;04-Apr-25;0.109;0.109;0.109;0.109;0.109;-;
1;03-Apr-25;0.107;0.107;0.107;0.107;0.107;-;
1;02-Apr-25;0.112;0.112;0.112;0.112;0.112;-;
1;01-Apr-25;0.112;0.133;0.112;0.133;0.133;182;
1;31-Mar-25;0.112;0.112;0.112;0.112;0.112;-;
1;28-Mar-25;0.112;0.112;0.112;0.112;0.112;-;
1;27-Mar-25;0.113;0.113;0.113;0.113;0.113;-;
1;26-Mar-25;0.113;0.137;0.113;0.137;0.137;1.5;
1;25-Mar-25;0.105;0.105;0.105;0.105;0.105;-;
1;24-Mar-25;0.104;0.104;0.104;0.104;0.104;-;
1;21-Mar-25;0.126;0.126;0.126;0.126;0.126;-;
1;20-Mar-25;0.114;0.136;0.114;0.136;0.136;15;
1;19-Mar-25;0.117;0.141;0.117;0.141;0.141;5;
1;18-Mar-25;0.121;0.121;0.121;0.121;0.121;-;
1;17-Mar-25;0.128;0.151;0.128;0.151;0.151;2.393;
1;14-Mar-25;0.15;0.15;0.147;0.147;0.147;11.333;
1;13-Mar-25;0.15;0.15;0.15;0.15;0.15;-;
1;12-Mar-25;0.15;0.151;0.15;0.151;0.151;12.464;
1;11-Mar-25;0.15;0.15;0.15;0.15;0.15;-;
1;10-Mar-25;0.15;0.15;0.15;0.15;0.15;-;
1;07-Mar-25;0.163;0.163;0.163;0.163;0.163;-;
1;06-Mar-25;0.15;0.15;0.15;0.15;0.15;-;
1;05-Mar-25;0.15;0.15;0.15;0.15;0.15;-;
1;04-Mar-25;0.152;0.152;0.152;0.152;0.152;-;
1;03-Mar-25;0.154;0.154;0.154;0.154;0.154;-;
1;28-Feb-25;0.15;0.184;0.15;0.184;0.184;37;
1;27-Feb-25;0.157;0.188;0.157;0.178;0.178;27.037;
1;26-Feb-25;0.153;0.153;0.153;0.153;0.153;-;
1;25-Feb-25;0.15;0.15;0.15;0.15;0.15;-;
1;24-Feb-25;0.158;0.158;0.158;0.158;0.158;-;
1;21-Feb-25;0.165;0.19;0.165;0.19;0.19;7.094;
1;20-Feb-25;0.154;0.179;0.154;0.179;0.179;12;
1;19-Feb-25;0.16;0.185;0.158;0.158;0.158;48.411;
1;18-Feb-25;0.163;0.163;0.163;0.163;0.163;-;
1;17-Feb-25;0.16;0.16;0.16;0.16;0.16;-;
1;14-Feb-25;0.16;0.16;0.16;0.16;0.16;-;
1;13-Feb-25;0.175;0.175;0.175;0.175;0.175;25;
1;12-Feb-25;0.16;0.175;0.16;0.17;0.17;58.825;
1;11-Feb-25;0.16;0.16;0.16;0.16;0.16;-;
1;10-Feb-25;0.16;0.16;0.16;0.16;0.16;-;
1;07-Feb-25;0.156;0.187;0.156;0.187;0.187;17.229;
1;06-Feb-25;0.16;0.178;0.16;0.178;0.178;2;
1;05-Feb-25;0.155;0.155;0.155;0.155;0.155;-;
1;04-Feb-25;0.153;0.153;0.153;0.153;0.153;-;
1;03-Feb-25;0.147;0.147;0.147;0.147;0.147;-;
1;31-Jan-25;0.163;0.163;0.163;0.163;0.163;-;
1;30-Jan-25;0.199;0.199;0.199;0.199;0.199;10;
1;29-Jan-25;0.2;0.204;0.2;0.204;0.204;490;
1;28-Jan-25;0.2;0.204;0.2;0.202;0.202;20.721;
1;27-Jan-25;0.2;0.2;0.2;0.2;0.2;-;
1;24-Jan-25;0.2;0.2;0.2;0.2;0.2;-;
1;23-Jan-25;0.2;0.2;0.2;0.2;0.2;-;
1;22-Jan-25;0.2;0.2;0.2;0.2;0.2;-;
1;21-Jan-25;0.198;0.198;0.198;0.198;0.198;-;
1;20-Jan-25;0.199;0.199;0.199;0.199;0.199;-;
1;17-Jan-25;0.198;0.198;0.198;0.198;0.198;-;
1;16-Jan-25;0.2;0.2;0.2;0.2;0.2;-;
1;15-Jan-25;0.204;0.204;0.204;0.204;0.204;-;
1;14-Jan-25;0.208;0.208;0.208;0.208;0.208;-;
1;13-Jan-25;0.194;0.194;0.194;0.194;0.194;-;
1;10-Jan-25;0.191;0.191;0.191;0.191;0.191;-;
1;09-Jan-25;0.189;0.189;0.189;0.189;0.189;-;
1;08-Jan-25;0.191;0.191;0.191;0.191;0.191;-;
1;07-Jan-25;0.193;0.193;0.193;0.193;0.193;-;
1;06-Jan-25;0.194;0.194;0.194;0.194;0.194;-;
1;03-Jan-25;0.2;0.2;0.2;0.2;0.2;-;
1;02-Jan-25;0.199;0.199;0.199;0.199;0.199;-;
1;30-Dec-24;0.202;0.202;0.202;0.202;0.202;-;
1;27-Dec-24;0.199;0.199;0.198;0.198;0.198;3.573;
1;23-Dec-24;0.195;0.195;0.195;0.195;0.195;-;
1;20-Dec-24;0.197;0.197;0.197;0.197;0.197;-;
1;19-Dec-24;0.198;0.198;0.198;0.198;0.198;-;
1;18-Dec-24;0.21;0.222;0.21;0.222;0.222;290;
1;17-Dec-24;0.21;0.21;0.21;0.21;0.21;-;
1;16-Dec-24;0.216;0.216;0.216;0.216;0.216;-;
1;13-Dec-24;0.22;0.22;0.22;0.22;0.22;-;
1;12-Dec-24;0.206;0.218;0.206;0.218;0.218;14;
1;11-Dec-24;0.212;0.212;0.212;0.212;0.212;-;
1;10-Dec-24;0.21;0.21;0.21;0.21;0.21;-;
1;09-Dec-24;0.202;0.202;0.202;0.202;0.202;-;
1;06-Dec-24;0.204;0.204;0.204;0.204;0.204;-;
1;05-Dec-24;0.204;0.204;0.204;0.204;0.204;-;
1;04-Dec-24;0.206;0.206;0.206;0.206;0.206;-;
1;03-Dec-24;0.197;0.197;0.197;0.197;0.197;-;
1;02-Dec-24;0.199;0.199;0.199;0.199;0.199;-;
1;29-Nov-24;0.199;0.199;0.199;0.199;0.199;-;
1;28-Nov-24;0.204;0.204;0.204;0.204;0.204;-;
1;27-Nov-24;0.204;0.204;0.204;0.204;0.204;-;
1;26-Nov-24;0.206;0.206;0.206;0.206;0.206;-;
1;25-Nov-24;0.208;0.208;0.208;0.208;0.208;-;
1;22-Nov-24;0.206;0.206;0.206;0.206;0.206;-;
1;21-Nov-24;0.206;0.206;0.206;0.206;0.206;-;
1;20-Nov-24;0.206;0.206;0.206;0.206;0.206;-;
1;19-Nov-24;0.21;0.21;0.21;0.21;0.21;-;
1;18-Nov-24;0.208;0.208;0.208;0.208;0.208;-;
1;15-Nov-24;0.214;0.214;0.214;0.214;0.214;-;
1;14-Nov-24;0.218;0.218;0.218;0.218;0.218;-;
1;13-Nov-24;0.208;0.208;0.208;0.208;0.208;-;
1;12-Nov-24;0.204;0.204;0.204;0.204;0.204;-;
1;11-Nov-24;0.206;0.206;0.206;0.206;0.206;-;
1;08-Nov-24;0.206;0.206;0.206;0.206;0.206;-;
1;07-Nov-24;0.206;0.206;0.206;0.206;0.206;-;
1;06-Nov-24;0.206;0.206;0.206;0.206;0.206;-;
1;05-Nov-24;0.206;0.206;0.206;0.206;0.206;-;
1;04-Nov-24;0.208;0.208;0.208;0.208;0.208;-;
1;01-Nov-24;0.208;0.208;0.208;0.208;0.208;-;
